Experiment ID                :  dynamiclandscapes
Problem Type                 :  DL1
Data Input File Name         :  NA
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  32


 R   3 G 104#######     23.174     14.639
 R   3 G 105#######     23.888     22.866
 R   3 G 106#######     27.149      27.72
 R   3 G 107#######     25.564     25.787
 R   3 G 108#######     25.645     24.895
 R   3 G 109#######     22.421     13.501
 R   3 G 110#######     21.737     13.821
 R   3 G 111#######      22.36       13.9
 R   3 G 112#######     22.764     12.371
 R   3 G 113#######     23.379     13.193
 R   3 G 114#######     20.669     12.482
 R   3 G 115#######     23.945     19.465
 R   3 G 116#######     21.039     12.477
 R   3 G 117#######     20.752     12.277
 R   3 G 118#######     21.523      10.84
 R   3 G 119#######     23.504      11.25
 R   3 G 120#######     23.707     11.339
 R   3 G 121#######     23.466     14.078
 R   3 G 122#######     23.749     12.959
 R   3 G 123#######      23.39     12.729
 R   3 G 124#######     23.853     19.052
 R   3 G 125#######     26.394     20.702
 R   3 G 126#######     28.584     28.062
 R   3 G 127#######     26.909     23.044
 R   3 G 128#######     24.686     11.093
 R   3 G 129#######     22.298     10.304
 R   3 G 130#######     22.212      9.767
 R   3 G 131#######      24.51      9.674
 R   3 G 132#######     23.338      9.653
 R   3 G 133#######     22.741     10.156
 R   3 G 134#######      21.74     11.716
 R   3 G 135#######     23.899     11.575
 R   3 G 136#######     23.846      13.81
 R   3 G 137#######     22.177     11.796
 R   3 G 138#######      23.37     12.332
 R   3 G 139#######     20.212     12.017
 R   3 G 140#######     20.779     12.898
 R   3 G 141#######     23.047     18.179
 R   3 G 142#######     23.759     15.832
 R   3 G 143#######      22.61     14.472
 R   3 G 144#######      20.98      12.83
 R   3 G 145#######     19.252     12.369
 R   3 G 146#######     18.625      12.75
 R   3 G 147#######     19.798     13.088
 R   3 G 148#######      19.01      13.63
 R   3 G 149#######     21.199     14.465
 R   3 G 150#######     21.419     12.863
 R   3 G 151#######     21.504     12.296
 R   3 G 152#######     21.836     11.573
 R   3 G 153#######     23.377     12.761
 R   3 G 154#######     24.046     13.326
 R   3 G 155#######     25.726     13.695
 R   3 G 156#######     24.753      13.79
 R   3 G 157#######     25.959       14.5
 R   3 G 158#######     26.997      16.34
 R   3 G 159#######     27.133     14.078
 R   3 G 160#######     23.117     12.285
 R   3 G 161#######     23.332     12.118
 R   3 G 162#######      24.51     19.483
 R   3 G 163#######     24.654     14.364
 R   3 G 164#######     24.957     15.191
 R   3 G 165#######     24.059     14.529
 R   3 G 166#######     25.015     14.252
 R   3 G 167#######     24.801     13.082
 R   3 G 168#######     24.706     12.656
 R   3 G 169#######     25.319     12.177
 R   3 G 170#######      27.85     12.178
 R   3 G 171#######     28.485     14.219
 R   3 G 172#######     30.249     17.072
 R   3 G 173#######     29.298      21.19
 R   3 G 174#######      25.73     15.485
 R   3 G 175#######     24.981      14.69
 R   3 G 176#######     24.298     15.888
 R   3 G 177#######     21.636     16.848
 R   3 G 178#######     22.024     13.505
 R   3 G 179#######     23.695     18.189
 R   3 G 180#######     23.142     13.768
 R   3 G 181#######      23.48     13.569
 R   3 G 182#######     27.047     22.781
 R   3 G 183#######      23.22     18.551
 R   3 G 184#######      27.15     24.836
 R   3 G 185#######     27.349     30.252
 R   3 G 186#######     23.899     25.064
 R   3 G 187#######     21.302     14.268
 R   3 G 188#######     21.232     14.894
 R   3 G 189#######     22.627     15.779
 R   3 G 190#######     20.863     17.111
 R   3 G 191#######     22.468     15.172
 R   3 G 192#######     22.566      14.36
 R   3 G 193#######     22.171     12.928
 R   3 G 194#######     22.199     12.655
 R   3 G 195#######     21.626     12.498
 R   3 G 196#######     23.231     12.148
 R   3 G 197#######     26.052     13.823
 R   3 G 198#######     24.064     14.101
